symbol,company,date,quote,open,low,high,avg_volume
AAPL,Apple Inc.,2024-03-01,179.4166564941,179.3068048782,177.1397459439,180.2854732141,73488000
AAPL,Apple Inc.,2024-03-04,174.8628234863,175.9113890129,173.5545851536,176.6603730965,81510100
AAPL,Apple Inc.,2024-03-05,169.8895721436,170.5287046712,169.3902493802,171.8069697264,95132400
AAPL,Apple Inc.,2024-03-06,168.890914917,170.8282895429,168.4515084775,171.0080536491,68587700
AAPL,Apple Inc.,2024-03-07,168.7710876465,168.9208783746,168.2617839328,170.4987400758,71765100
AAPL,Apple Inc.,2024-03-08,170.4987335205,168.7710811576,168.7111648686,173.4647117279,76114600
AAPL,Apple Inc.,2024-03-11,172.5160064697,172.7057515488,171.8169576822,174.1438034764,60139500
AAPL,Apple Inc.,2024-03-12,172.9953460693,172.9154526052,170.7783519637,173.7942654725,59825400
AAPL,Apple Inc.,2024-03-13,170.8982086182,172.5359866222,170.5286994227,172.955415902,52488700
AAPL,Apple Inc.,2024-03-14,172.7656707764,172.6757963389,171.816960603,174.0738939378,72913500
AAPL,Apple Inc.,2024-03-15,172.3861846924,170.9381517368,170.0593388035,172.3861846924,121664700
AAPL,Apple Inc.,2024-03-18,173.4846954346,175.332195683,173.2849693845,177.4692964183,75604200
AAPL,Apple Inc.,2024-03-19,175.8414916992,174.10384314,172.7956200458,176.3707725658,55215200
AAPL,Apple Inc.,2024-03-20,178.4279937744,175.481992529,174.8528409733,178.4279937744,53423100
AAPL,Apple Inc.,2024-03-21,171.137878418,176.810192913,170.6085975098,177.2495993813,106181300
AAPL,Apple Inc.,2024-03-22,172.0466461182,171.5273461897,169.8296518814,172.8156074225,71106600
AAPL,Apple Inc.,2024-03-25,170.6185913086,170.3389717851,169.2204784531,171.7071112563,54288300
AAPL,Apple Inc.,2024-03-26,169.4801330566,169.7697335444,169.3503042666,171.1878083137,57388400
AAPL,Apple Inc.,2024-03-27,173.0752410889,170.1791753693,169.8795786856,173.3648568037,60273300
AAPL,Apple Inc.,2024-03-28,171.2477264404,171.5173649927,170.2790390843,171.996710567,65672700
AAPL,Apple Inc.,2024-04-01,169.799697876,170.9581303454,169.2504397881,171.018046639,46240500
AAPL,Apple Inc.,2024-04-02,168.6112976074,168.8509780061,168.0021232608,169.1106203427,49329500
AAPL,Apple Inc.,2024-04-03,169.4201965332,168.5613608264,168.3516538127,170.44880014,47691700
AAPL,Apple Inc.,2024-04-04,168.5913391113,170.0593339641,168.5913391113,171.6871309907,53704400
AAPL,Apple Inc.,2024-04-05,169.3502960205,169.3602769892,168.7211445153,170.1591963911,42055200
AAPL,Apple Inc.,2024-04-08,168.2218322754,168.8010484969,168.0121252527,168.9708164042,37425500
AAPL,Apple Inc.,2024-04-09,169.4401702881,168.4714829905,168.1219662287,169.8496185764,42451200
AAPL,Apple Inc.,2024-04-10,167.552734375,168.5713570128,166.8836437441,168.860957492,49709300
AAPL,Apple Inc.,2024-04-11,174.8029022217,168.1119803961,167.9322315198,175.2223467427,91070300
AAPL,Apple Inc.,2024-04-12,176.3108673096,174.0239605652,173.9740404803,178.1184132392,101593300
AAPL,Apple Inc.,2024-04-15,172.4560852051,175.1224667281,172.2663401315,176.3907507163,73531800
AAPL,Apple Inc.,2024-04-16,169.1505737305,171.5173586062,168.0420766548,173.5246305051,73711200
AAPL,Apple Inc.,2024-04-17,167.7724456787,169.3802655593,167.7724456787,170.4188501849,50901200
AAPL,Apple Inc.,2024-04-18,166.8137359619,167.8024004828,166.3244094242,168.4115748413,43122900
AAPL,Apple Inc.,2024-04-19,164.7765045166,165.9848722545,163.8577525018,166.174602096,67772100
AAPL,Apple Inc.,2024-04-22,165.6153564453,165.2957978277,164.5468137462,167.0334311444,48116400
AAPL,Apple Inc.,2024-04-23,166.6739196777,165.1260314192,164.6966059514,166.8237256383,49537800
AAPL,Apple Inc.,2024-04-24,168.7910614014,166.3144096673,165.9848700722,169.0706809136,48251800
AAPL,Apple Inc.,2024-04-25,169.6598815918,169.3003686061,167.9222329544,170.3789075632,50558300
AAPL,Apple Inc.,2024-04-26,169.0706787109,169.6498949039,168.9508308943,171.107908736,44838400
AAPL,Apple Inc.,2024-04-29,173.2649841309,173.1351553472,172.8655320494,175.7915558793,68169400
AAPL,Apple Inc.,2024-04-30,170.0992889404,173.0952254245,169.7697340986,174.7529806029,65934800
AAPL,Apple Inc.,2024-05-01,169.0706787109,169.3502982195,168.8809336362,172.4760633723,50383100
AAPL,Apple Inc.,2024-05-02,172.7956237793,172.2763238703,170.6585230914,173.1850949015,94214900
AAPL,Apple Inc.,2024-05-03,183.1316070557,186.3971666978,182.4125811143,186.7466986997,163224100
AAPL,Apple Inc.,2024-05-06,181.4638824463,182.1030149636,180.1756212042,183.9505000154,78569700
AAPL,Apple Inc.,2024-05-07,182.152923584,183.2015043518,181.0743999099,184.6495372035,77305800
AAPL,Apple Inc.,2024-05-08,182.492477417,182.6023290275,181.2042162362,182.8220322484,45057100
AAPL,Apple Inc.,2024-05-09,184.3200073242,182.312720116,181.8633326884,184.4098817621,48983000
AAPL,Apple Inc.,2024-05-10,183.0500030518,184.8999938965,182.1300048828,185.0899963379,50759500
AAPL,Apple Inc.,2024-05-13,186.2799987793,185.4400024414,184.6199951172,187.1000061035,72044800
AAPL,Apple Inc.,2024-05-14,187.4299926758,187.5099945068,186.2899932861,188.3000030518,52393600
AAPL,Apple Inc.,2024-05-15,189.7200012207,187.9100036621,187.3699951172,190.6499938965,70400000
AAPL,Apple Inc.,2024-05-16,189.8399963379,190.4700012207,189.6600036621,191.1000061035,52845200
AAPL,Apple Inc.,2024-05-17,189.8699951172,189.5099945068,189.1799926758,190.8099975586,41282900
AAPL,Apple Inc.,2024-05-20,191.0399932861,189.3300018311,189.0099945068,191.9199981689,44361300
AAPL,Apple Inc.,2024-05-21,192.3500061035,191.0899963379,190.9199981689,192.7299957275,42309400
AAPL,Apple Inc.,2024-05-22,190.8999938965,192.2700042725,190.2700042725,192.8200073242,34648500
AAPL,Apple Inc.,2024-05-23,186.8800048828,190.9799957275,186.6300048828,191.0,51005900
AAPL,Apple Inc.,2024-05-24,189.9799957275,188.8200073242,188.0399932861,190.5800018311,36294600
AAPL,Apple Inc.,2024-05-28,189.9900054932,191.5099945068,189.1000061035,193.0,52280100
AAPL,Apple Inc.,2024-05-29,190.2899932861,189.6100006104,189.5099945068,192.25,53068000
AAPL,Apple Inc.,2024-05-30,191.2899932861,190.7599945068,190.6300048828,192.1799926758,49947900
AAPL,Apple Inc.,2024-05-31,192.25,191.4400024414,189.9100036621,192.5700073242,75158300
AAPL,Apple Inc.,2024-06-03,194.0299987793,192.8999938965,192.5200042725,194.9900054932,50080500
AAPL,Apple Inc.,2024-06-04,194.3500061035,194.6399993896,193.0299987793,195.3200073242,47471400
AAPL,Apple Inc.,2024-06-05,195.8699951172,195.3999938965,194.8699951172,196.8999938965,54156800
AAPL,Apple Inc.,2024-06-06,194.4799957275,195.6900024414,194.1699981689,196.5,41181800
AAPL,Apple Inc.,2024-06-07,196.8899993896,194.6499938965,194.1399993896,196.9400024414,53103900
AAPL,Apple Inc.,2024-06-10,193.1199951172,196.8999938965,192.1499938965,197.3000030518,97262100
AAPL,Apple Inc.,2024-06-11,207.1499938965,193.6499938965,193.6300048828,207.1600036621,172373300
AAPL,Apple Inc.,2024-06-12,213.0700073242,207.3699951172,206.8999938965,220.1999969482,198134300
AAPL,Apple Inc.,2024-06-13,214.2400054932,214.7400054932,211.6000061035,216.75,97862700
AAPL,Apple Inc.,2024-06-14,212.4900054932,213.8500061035,211.3000030518,215.1699981689,70122700
AAPL,Apple Inc.,2024-06-17,216.6699981689,213.3699951172,212.7200012207,218.9499969482,93728300
AAPL,Apple Inc.,2024-06-18,214.2899932861,217.5899963379,213.0,218.6300048828,79943300
AAPL,Apple Inc.,2024-06-20,209.6799926758,213.9299926758,208.8500061035,214.2400054932,86172500
AAPL,Apple Inc.,2024-06-21,207.4900054932,210.3899993896,207.1100006104,211.8899993896,241805100
AAPL,Apple Inc.,2024-06-24,210.0894927979,207.7200012207,206.5899963379,212.6999969482,43752649
AMZN,"Amazon.com, Inc.",2023-12-26,153.4100036621,153.5599975586,153.0299987793,153.9799957275,25067200
AMZN,"Amazon.com, Inc.",2023-12-27,153.3399963379,153.5599975586,153.1199951172,154.7799987793,31434700
AMZN,"Amazon.com, Inc.",2023-12-28,153.3800048828,153.7200012207,152.9499969482,154.0800018311,27057000
AMZN,"Amazon.com, Inc.",2023-12-29,151.9400024414,153.1000061035,151.0299987793,153.8899993896,39789000
AMZN,"Amazon.com, Inc.",2024-01-02,149.9299926758,151.5399932861,148.3899993896,152.3800048828,47339400
AMZN,"Amazon.com, Inc.",2024-01-03,148.4700012207,149.1999969482,148.3300018311,151.0500030518,49425500
AMZN,"Amazon.com, Inc.",2024-01-04,144.5700073242,145.5899963379,144.0500030518,147.3800048828,56039800
AMZN,"Amazon.com, Inc.",2024-01-05,145.2400054932,144.6900024414,144.5299987793,146.5899963379,45124800
AMZN,"Amazon.com, Inc.",2024-01-08,149.1000061035,146.7400054932,146.1499938965,149.3999938965,46757100
AMZN,"Amazon.com, Inc.",2024-01-09,151.3699951172,148.3300018311,148.2100067139,151.7100067139,43812600
AMZN,"Amazon.com, Inc.",2024-01-10,153.7299957275,152.0599975586,151.8800048828,154.4199981689,44421800
AMZN,"Amazon.com, Inc.",2024-01-11,155.1799926758,155.0399932861,153.1199951172,157.1699981689,49072700
